bpm,compStyle,composer,key,style,title,song_index
84,Pop-Rock,Buckley Jeff,C,Rock,So Real,1671
117,Pop-Shuffle,Grand Funk Railroad (John Ellison),D,Blues Rock,Some Kinda Wonderful,1672
73,Pop-Rock 12/8,Queen (Freddie Mercury),Ab,Rock,Somebody To Love,1673
70,Pop-Slow Rock,The Beatles (George Harrison),C,Rock Pop,Something,1674
92,Pop-Soul,"Dusty Springfield (Hurley, Wilkins)",E,Soul,Son Of A Preacher Man,1675
95,Pop-Rock,Zappa Frank,D-,Rock,Son Of Mr. Green Genes,1676
63,Jazz-Ballad Swing,Russell Leon,D-,Ballad,"Song For You, A",1677
103,Pop-Rock,Simon and Garfunkel (Paul Simon),Eb-,Rock Ballad,"Sound of Silence, The",1678
110,Pop-Rock,"Ben E. King (King, Leiber, Stoller)",A,Soul,Stand By Me,1679
103,Pop-Disco,Bee Gees (Gibb-Gibb-Gibb),F-,Disco,Stayin' Alive,1680
90,Pop-Soul,"Incognito(Maunick, Jean, Bull, Richard)",A,Soul,Still A Friend Of Mine,1681
63,Pop-Rock 12/8,Moore Gary,A-,Blues,Still Got The Blues,1682
112,Pop-Soul,The Crusaders (Sample-Jennings),Ab,Funk,Street Life,1683
107,Pop-Rock,The Lovin' Spoonful (Sebastian-Boone-Sebastian),C-,Rock,Summer In The City,1684
135,Pop-Rock,"Bryan Adams (Adams, Vallance)",D,Rock,Summer Of '69,1685
95,Pop-Soul,"Earth, Wind and Fire-Ramsey Lewis (Lind-White)",A,Funk,Sun Goddess,1686
105,Pop-Rock,(Bruce-Brown-Clapton) Cream,D,Rock,"Sunshine Of Your Love, The",1687
89,Pop-Rock,"The Carpenters (Russell, Bramlett)",Db,Pop,Superstar,1688
100,Pop-Rock,Wonder Stevie,Eb-,Funk,Superstition,1689
160,Pop-Rock,The Beach Boys (Berry-Wilson),Eb,Rock,Surfin' USA,1690
123,Jazz-Medium Up Swing,Diamond Neil,B,Rock,Sweet Caroline,1691
93,Pop-Soul,"Anita Baker (Baker, Johnson, Bias)",Bb,Pop,Sweet Love,1692
80,Pop-Rock,Clapton Eric,A,Rock,Tears In Heaven,1693
75,Pop-Soul,Rufus and Chaka Khan (Stevie Wonder),Ab,Funk,Tell Me Something Good,1694
174,Jazz-Latin,The Champs (Daniel Flores),F,Latin,Tequila,1695
86,Pop-Soul,"Earth, Wind and Fire (White-Stepney-White)",Db,Funk,That's The Way Of The World,1696
66,Pop-Slow Rock,"Dionne Warwick and Friends (Bacharach, Sager)",Eb,Pop,That's What Friends Are For,1697
106,Pop-Soul,"Aretha Franklin (Franklin, White)",Bb,Soul,Think,1698
115,Pop-Rock,Drake Nick,D-,Folk Rock,Three Hours,1699
170,Pop-Country,"Dawn (Levine, Brown)",F,Pop,Tie A Yellow Ribbon,1700
67,Pop-Slow Rock,"Pink Floyd (Gilmour, Mason, Waters, White)",F#-,Rock,Time,1701
127,Pop-Rock,"Cyndi Lauper (Lauper, Hyman)",C,Pop,Time After Time (Cyndi Lauper),1702
109,Pop-Rock,Drake Nick,C,Folk Rock,Time Has Told Me,1703
85,Pop-Soul,(Martin-Grahame) Mr.Big,E,Pop Ballad,To Be With You,1704
93,Pop-Rock,Bee Gees (Barry Gibb-Robin Gibb),A,Pop Ballad,To Love Somebody,1705
70,Pop-Slow Rock,Dylan Bob,Db,Folk Ballad,To Make You Feel My Love,1706
65,Pop-Slow Rock,Wonder Stevie,D,Pop,Too Shy To Say,1707
180,Pop-Country,"The Carpenters (Carpenter, Bettis)",Bb,Pop,Top Of The World,1708
115,Pop-Rock,The Beatles (Medley-Russell),D,Rock Pop,Twist and Shout,1709
89,Pop-Soul,(Jay-Z-Harrell-Nash-Stewart) Rihanna,Gb,Pop,Umbrella,1710
61,Pop-Slow Rock,Toni Braxton (Diane Warren),B-,Ballad,Un-Break My Heart,1711
66,Pop-Rock 12/8,The Righteous Brothers (North-Zaret),C,Ballad,Unchained Melody,1712
68,Pop-Rock,Morissette Alanis,D,Rock,Uninvited,1713
70,Pop-RnB,BjÃ¶rk,F-,Pop,Venus As A Boy,1714
90,Pop-Soul,(Kay-Smith) Jamiroquai,Eb-,Funk,Virtual Insanity,1715
88,Pop-Soul,Mayer John,D,Rock Pop,Waiting On The World To Change,1716
161,Jazz-Medium Up Swing,Wham! (George Michael),C,Pop,Wake Me Up Before You Go-Go,1717
100,Latin-Brazil: Bossa Electric,Dionne Warwick (Bacharach-David),F,Pop Ballad,Walk On By,1718
216,Pop-Rock,Katrina And The Waves (Kimberley Rew),Bb,Rock,Walking On Sunshine,1719
122,Jazz-Medium Up Swing,Waits Tom,F#-,Blues,Walking Spanish,1720
88,Pop-Soul,(Duffy-Hogarth-White) Duffy,Bb,Soul,Warwick Avenue,1721
66,Pop-Rock 12/8,Queen (Freddie Mercury),C-,Rock,We Are The Champions,1722
125,Pop-Rock,"Bon Jovi (Bon Jovi, Sambora)",B,Rock,We Weren't Born To Follow,1723
88,Pop-Rock,"The Carpenters (Williams, Nichols)",E,Pop,We've Only Just Begun,1724
175,Pop-Rock,Charles Ray,E,RnB,What'd I Say,1725
97,Pop-Soul,"Marvin Gaye (Benson, Cleveland, Gaye)",E,Soul,What's Going On,1726
93,Pop-Soul,"Tina Turner (Lyle, Britten)",B,Rock Pop,What's Love Got To Do With It,1727
84,Pop-Soul,Franks Michael,Eb-,Pop Ballad,When I Give My Love To You,1728
132,Jazz-Swing Two/Four,"The Beatles (Lennon, McCartney)",Db,Rock Pop,When I'm 64,1729
138,Jazz-Medium Up Swing,The Supremes (Hollandâ€“Dozierâ€“Holland),C,RnB,Where Did Our Love Go,1730
115,Pop-Rock,The Beatles (George Harrison),A-,Rock Pop,While My Guitar Gently Weeps,1731
75,Pop-Rock,Procol Harum (Brooker-Fisher-Reid),C,Rock,"Whiter Shade of Pale, A ",1732
180,Pop-Country,Mayer John,D,Folk Rock,Who Says,1733
102,Pop-Rock,The Troggs (Chip Taylor),A,Rock,Wild Thing,1734
79,Pop-Rock,King Carole,C,Pop,Will You Still Love Me Tomorrow,1735
134,Jazz-Medium Swing,"Jack Jones (Bacharach, David)",Eb,Waltz,Wives And Lovers 1,1736
85,Pop-Rock,Lennon John,Eb,Rock Ballad,Woman,1737
85,Pop-Rock,Barbra Streisand (Gibb-Gibb),Eb-,Pop Ballad,Woman In Love,1738
96,Pop-Rock,Clapton Eric,G,Pop Ballad,Wonderful Tonight,1739
88,Pop-Rock,Oasis (Noel Gallagher),F#-,Rock,Wonderwall,1740
98,Pop-Rock,Mitchell Joni,Eb-,Folk,Woodstock,1741
116,Pop-Rock,"The Beatles (Lennon, McCartney)",D,Rock Pop,"Word, The",1742
92,Pop-Rock,"Coldplay (Berryman, Buckland, Champion, Martin)",B,Pop,Yellow,1743
97,Pop-Rock,"The Beatles (Lennon, McCartney)",F,Rock Pop,Yesterday,1744
86,Pop-Rock,"The Carpenters (Carpenter, Bettis)",E,Pop,Yesterday Once More,1745
63,Pop-Slow Rock,"Joe Cocker (Preston, Fisher, Wilson)",Ab,Pop,You Are So Beautiful,1746
127,Latin-Brazil: Bossa Electric,Wonder Stevie,B,Soul,You Are The Sunshine Of My Life,1747
103,Pop-Rock,"Hot Chocolate (Wilson, Brown)",F,Pop,You Sexy Thing,1748
82,Pop-Rock,Queen (Freddie Mercury),C-,Rock,You Take My Breath Away,1749
90,Pop-Rock,King Carole,Ab,Folk Rock,You've Got A Friend,1750
95,Pop-Rock,"The Righteous Brothers(Spector, Mann, Weil)",Db,Pop,You've Lost That Lovin' Feelin',1751
65,Pop-Slow Rock,"Elton John (John, Taupin)",Eb,Pop,Your song,1752
