bpm,compStyle,composer,key,style,title,song_index
60,Jazz-Ballad Swing,Noble Ray,Ab,Ballad,"Very Thought Of You, The",1249
60,Jazz-Ballad Swing,Adair-Dennis,F,Ballad,Violets For Your Furs,1250
60,Jazz-Ballad Swing,Shorter Wayne,F,Ballad,Virgo,1251
240,Jazz-Up Tempo Swing,Barron Kenny,F-,Up Tempo Swing,Voyage,1252
100,Jazz-Medium Swing,Rodgers Richard,Eb,Medium Swing,Wait Till You See Her,1253
140,Pop-Funk,Adderley Cannonball,C,Funk,Walk Tall,1254
240,Jazz-Up Tempo Swing,Davis Miles,F,Up Tempo Swing,Walkin',1255
100,Jazz-Medium Swing,Ahlert-Turk,Bb,Medium Swing,Walkin' My Baby Back Home,1256
100,Jazz-Medium Swing,Mulligan Gerry,Eb,Medium Swing,Walkin' Shoes,1257
100,Jazz-Medium Swing,Evans Bill,C,Medium Swing,Walkin' up,1258
100,Jazz-Medium Swing,Evans Bill,F,Waltz,Waltz For Debby,1259
60,Jazz-Ballad Swing,Ellington Duke,Bb,Ballad,Warm Valley,1260
140,Jazz-Bossa Nova,Legrand Michel,Eb,Bossa Nova,Watch What Happens,1261
140,Jazz-Even 8ths,Hancock Herbie,F,Even 8ths,Watermelon Man,1262
140,Jazz-Bossa Nova,Jobim Antonio-Carlos,D,Bossa Nova,Wave,1263
240,Jazz-Up Tempo Swing,Kern Jerome,F,Up Tempo Swing,"Way You Look Tonight, The",1264
160,Jazz-Medium Up Swing,Garrett Kenny,E-,Medium Up Swing,Wayne's Thang,1265
160,Jazz-Medium Up Swing,Monk Thelonious,Bb,Medium Up Swing,We See,1266
100,Jazz-Medium Swing,Evans Bill,C-,Waltz,We Will Meet Again,1267
60,Jazz-Ballad Swing,Fisher Carl,C,Ballad,We'll Be Together Again,1268
160,Jazz-Medium Up Swing,Powell Bud,Bb,Medium Up Swing,Webb City,1269
100,Jazz-Medium Swing,Monk Thelonious,F,Medium Swing,Well You Needn't,1270
80,Jazz-Slow Swing,Desmond Paul,Eb,Slow Swing,Wendy,1271
100,Jazz-Medium Swing,Montgomery Wes,Bb,Waltz,West Coast Blues,1272
